what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609695975
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609739270
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609758489
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609761755
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609776504
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609802020
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609802035
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609802129
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609814254
started,bundle,org.eclipse.mylyn.java.tasks,3.0.0.v20080619-1900,org.eclipse.mylyn.java.tasks,1224609820113
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1224609820113
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1224609826379
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1224609828301
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1224609829285
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1224609831066
executed,command,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui.antShortcut.run,1224609833051
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609854269
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224610087313
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224610088423
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224611644499
activated,editor,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui.internal.editor.AntEditor,1224611645296
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224611655671
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224611661218
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1224611668312
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1224611671656
