what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1224609561621
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1224609561636
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1224609561652
started,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1224609561714
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1224609561730
executed,command,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui.antShortcut.run,1224609561808
started,bundle,org.eclipse.ant.core,3.2.0.v20080529,org.eclipse.ant.core,1224609561855
started,bundle,org.eclipse.pde.build,3.4.0.v20080604,org.eclipse.pde.build,1224609562043
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1224609562386
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609568402
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609608634
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609613509
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609622228
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609623650
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609624603
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609628712
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609652367
started,bundle,org.eclipse.wst.server.core,1.1.0.v20080530,org.eclipse.wst.server.core,1224609654367
started,bundle,org.eclipse.wst.server.ui,1.1.0.v20080515,org.eclipse.wst.server.ui,1224609654633
executed,command,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui.antShortcut.run,1224609657789
opened,editor,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui.internal.editor.AntEditor,1224609661773
activated,editor,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui.internal.editor.AntEditor,1224609661836
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1224609668273
activated,editor,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui.internal.editor.AntEditor,1224609670101
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1224609678647
